mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_split,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,split5_test_balanced_accuracy,split6_test_balanced_accuracy,split7_test_balanced_accuracy,split8_test_balanced_accuracy,split9_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy
0.8501706600189209,0.20188143231208522,0.06526014804840088,0.023835517139660888,gini,5,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 2}",0.8529321461467608,0.8507371007371007,0.8436732186732187,0.851044226044226,0.8424447174447175,0.8492014742014742,0.8498157248157249,0.8464373464373465,0.8412162162162162,0.8553439803439803,0.8482846151060766,0.0044383926633089444,9,0.8072289156626506,0.7832699619771863,0.7495462794918331,0.7783985102420856,0.7610789980732178,0.780114722753346,0.7820267686424475,0.7730769230769231,0.778705636743215,0.7958412098298677,0.7789287926492772,0.01527514018069395,6,0.5121019108280255,0.5255102040816326,0.5267857142857143,0.5331632653061225,0.5038265306122449,0.5204081632653061,0.5216836734693877,0.5127551020408163,0.475765306122449,0.5369897959183674,0.5168989665930066,0.01666831686592935,21,0.6266562743569758,0.6290076335877862,0.6187265917602996,0.6328538985616957,0.6062931696085956,0.6243305279265493,0.6258607498087223,0.6165644171779141,0.5906571654790183,0.6412795125666413,0.6212229940834199,0.013579147486548678,19,0.7366334796858574,0.7396968496136318,0.7354802357836339,0.7425120533650353,0.7268323591572552,0.7369435638333004,0.7377835843075093,0.7325102371045505,0.7164425236113863,0.7466502377650089,0.735148512422717,0.008035625010073221,21
0.6335935592651367,0.03072693050272342,0.05217411518096924,0.007056233165174512,gini,5,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 5}",0.8529321461467608,0.8507371007371007,0.8436732186732187,0.851044226044226,0.8427518427518428,0.8492014742014742,0.8501228501228502,0.8464373464373465,0.8412162162162162,0.8553439803439803,0.8483460401675016,0.004410187526828941,7,0.8072289156626506,0.7832699619771863,0.7495462794918331,0.7783985102420856,0.7615384615384615,0.780114722753346,0.7824427480916031,0.7730769230769231,0.778705636743215,0.7958412098298677,0.7790163369407173,0.015230828318583158,4,0.5121019108280255,0.5255102040816326,0.5267857142857143,0.5331632653061225,0.5051020408163265,0.5204081632653061,0.5229591836734694,0.5127551020408163,0.475765306122449,0.5369897959183674,0.517154068633823,0.016612612038438727,19,0.6266562743569758,0.6290076335877862,0.6187265917602996,0.6328538985616957,0.6073619631901841,0.6243305279265493,0.6269113149847095,0.6165644171779141,0.5906571654790183,0.6412795125666413,0.6214349299591774,0.013503925472034897,17,0.7366334796858574,0.7396968496136318,0.7354802357836339,0.7425120533650353,0.7274701142592959,0.7369435638333004,0.7384213394095502,0.7325102371045505,0.7164425236113863,0.7466502377650089,0.735276063443125,0.007994480510115526,19
0.5909365892410279,0.010757122741968292,0.055341672897338864,0.008447288565516459,gini,5,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_split': 10}",0.8529321461467608,0.8507371007371007,0.8436732186732187,0.851044226044226,0.8427518427518428,0.8492014742014742,0.8501228501228502,0.8464373464373465,0.8412162162162162,0.8553439803439803,0.8483460401675016,0.004410187526828941,7,0.8072289156626506,0.7832699619771863,0.7495462794918331,0.7783985102420856,0.7615384615384615,0.780114722753346,0.7824427480916031,0.7730769230769231,0.778705636743215,0.7958412098298677,0.7790163369407173,0.015230828318583158,4,0.5121019108280255,0.5255102040816326,0.5267857142857143,0.5331632653061225,0.5051020408163265,0.5204081632653061,0.5229591836734694,0.5127551020408163,0.475765306122449,0.5369897959183674,0.517154068633823,0.016612612038438727,19,0.6266562743569758,0.6290076335877862,0.6187265917602996,0.6328538985616957,0.6073619631901841,0.6243305279265493,0.6269113149847095,0.6165644171779141,0.5906571654790183,0.6412795125666413,0.6214349299591774,0.013503925472034897,17,0.7366334796858574,0.7396968496136318,0.7354802357836339,0.7425120533650353,0.7274701142592959,0.7369435638333004,0.7384213394095502,0.7325102371045505,0.7164425236113863,0.7466502377650089,0.735276063443125,0.007994480510115526,19
0.994718337059021,0.2758982504323574,0.0641047477722168,0.01604150350202782,gini,10,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.8661344795824378,0.8565724815724816,0.8565724815724816,0.8614864864864865,0.855958230958231,0.8528869778869779,0.8547297297297297,0.8501228501228502,0.851965601965602,0.8682432432432432,0.857467256312052,0.005691720047600256,1,0.7942664418212478,0.7663865546218488,0.7672849915682968,0.7807757166947723,0.7586206896551724,0.7589134125636672,0.7317436661698957,0.7587412587412588,0.7603448275862069,0.785829307568438,0.7662906866990805,0.016656263884156662,9,0.6,0.5816326530612245,0.5803571428571429,0.5905612244897959,0.5892857142857143,0.5701530612244898,0.6262755102040817,0.5535714285714286,0.5625,0.6224489795918368,0.5876785714285714,0.022485490369929154,13,0.683599419448476,0.6613488034807832,0.6608569353667393,0.6724763979665941,0.6633165829145728,0.651128914785142,0.6749140893470791,0.640117994100295,0.6466275659824047,0.6946619217081851,0.6649048625100271,0.01600706360948862,1,0.7753236245954692,0.7627014397992207,0.7622659500693482,0.768986113863021,0.7649098474341193,0.7563548477643485,0.7767299881117495,0.7488730929264911,0.7531351132686084,0.7843231952975365,0.7653603213129913,0.010585387915559276,4
0.9139276266098022,0.17560640163246705,0.052744269371032715,0.006453448195663183,gini,10,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.8652133865520417,0.8568796068796068,0.8574938574938575,0.8614864864864865,0.8565724815724816,0.8525798525798526,0.8556511056511057,0.8492014742014742,0.8513513513513513,0.8679361179361179,0.8574365720704377,0.005655118217442651,2,0.7922297297297297,0.7667785234899329,0.7684563758389261,0.7826825127334465,0.7594108019639935,0.7585034013605442,0.7343283582089553,0.7574692442882249,0.7586206896551724,0.7864077669902912,0.7664887404259217,0.016177053332457506,7,0.597452229299363,0.5829081632653061,0.5841836734693877,0.5880102040816326,0.5918367346938775,0.5688775510204082,0.6275510204081632,0.5497448979591837,0.5612244897959183,0.6198979591836735,0.5871686923176914,0.022946584822334876,14,0.6811909949164852,0.6623188405797101,0.663768115942029,0.6715222141296431,0.6652329749103942,0.6501457725947521,0.6767537826685007,0.6371027346637103,0.6451612903225806,0.6932952924393724,0.6646492013167178,0.01625875854983356,2,0.7738474738729825,0.7633391949012616,0.7641792153754705,0.7681151344032758,0.766185357638201,0.7557170926623076,0.777772273958127,0.7469598276203686,0.7522950927943992,0.7832499504656232,0.7651660613692016,0.010778541902760057,5
0.8289980173110962,0.02140521598569919,0.05126943588256836,0.0015798457129292825,gini,10,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.8649063555419098,0.8565724815724816,0.8587223587223587,0.8621007371007371,0.855958230958231,0.8522727272727273,0.8544226044226044,0.8495085995085995,0.8513513513513513,0.8676289926289926,0.8573444439079992,0.005670714309195065,3,0.7928692699490663,0.7654941373534339,0.7736486486486487,0.7834179357021996,0.7586206896551724,0.7546218487394958,0.7320359281437125,0.7588028169014085,0.7586206896551724,0.7851373182552503,0.7663269283003561,0.017008810639805496,8,0.5949044585987261,0.5829081632653061,0.5841836734693877,0.5905612244897959,0.5892857142857143,0.5727040816326531,0.6237244897959183,0.5497448979591837,0.5612244897959183,0.6198979591836735,0.5869139152476277,0.02189210976147682,15,0.6797671033478894,0.6618392469225199,0.6656976744186046,0.6734545454545454,0.6633165829145728,0.6511965192168238,0.6735537190082644,0.6375739644970414,0.6451612903225806,0.6928011404133999,0.6644361786516242,0.015754510978319754,3,0.7727758538948323,0.7631369295290932,0.7649882768641436,0.7693906446073575,0.7649098474341193,0.7568212964797569,0.7756567432798362,0.7471620929925369,0.7522950927943992,0.7830476850934549,0.7650184462969529,0.010339242994757941,6
1.3109328269958496,0.3301902620955173,0.06028561592102051,0.018019607769111122,gini,20,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 2}",0.8259134172551428,0.8304668304668305,0.8363022113022113,0.8378378378378378,0.8286240786240786,0.8387592137592138,0.8301597051597052,0.8184889434889435,0.8273955773955773,0.8384520884520884,0.8312399903741629,0.006261466494045662,18,0.6522346368715084,0.6611111111111111,0.673582295988935,0.6693121693121693,0.6426767676767676,0.6738255033557047,0.6460176991150443,0.6338418862690708,0.6472148541114059,0.6692913385826772,0.6569108262394393,0.01363114173512361,18,0.5949044585987261,0.6071428571428571,0.6211734693877551,0.6454081632653061,0.6492346938775511,0.6403061224489796,0.6517857142857143,0.5829081632653061,0.6224489795918368,0.6505102040816326,0.6265822825945664,0.02366176587709079,3,0.6222518321119254,0.6329787234042553,0.6463171864631718,0.6571428571428571,0.6459390862944162,0.6566383257030739,0.6488888888888888,0.6073089700996678,0.6345903771131339,0.6597671410090556,0.6411823388230447,0.016012267880006422,12,0.7470881516294601,0.7542186777623671,0.7628521068621623,0.7721377385905819,0.7673762466151509,0.7710025757875966,0.7692585529357374,0.7380560233802259,0.7574219007991546,0.7742842282544086,0.7613696202616846,0.011358919415812883,12
1.0299801349639892,0.03654388520395662,0.05110595226287842,0.011216129404696613,gini,20,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 5}",0.8357384095793675,0.8332309582309583,0.835995085995086,0.8436732186732187,0.8384520884520884,0.8409090909090909,0.8372235872235873,0.8258599508599509,0.8329238329238329,0.8384520884520884,0.8362458311299269,0.004646667801997574,17,0.6827485380116959,0.6718972895863052,0.6765536723163842,0.6886145404663924,0.6692913385826772,0.6878531073446328,0.6706989247311828,0.6588579795021962,0.6643835616438356,0.6733870967741935,0.6744286048959495,0.00919965660964713,17,0.5949044585987261,0.6007653061224489,0.610969387755102,0.6403061224489796,0.6505102040816326,0.6211734693877551,0.6364795918367347,0.5739795918367347,0.6186224489795918,0.639030612244898,0.6186741193292603,0.022719676417241645,8,0.6358066712049013,0.6343434343434343,0.6420911528150134,0.6635822868473232,0.6597671410090556,0.6528150134048257,0.6531413612565445,0.6134969325153374,0.6406869220607662,0.6557591623036649,0.6451490077760866,0.014226210163336429,11,0.7535606435388452,0.753861617462519,0.7591659236510138,0.7742388217422891,0.7742842282544086,0.7658860874446867,0.7686847797371377,0.739861964203157,0.7597562083085662,0.7703648206855558,0.7619665095028179,0.010349170077009879,9
1.2639323711395263,0.31877632950343365,0.055039715766906736,0.019056790061471797,gini,20,10,"{'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__min_samples_split': 10}",0.8366595026097636,0.8384520884520884,0.8424447174447175,0.8458230958230958,0.8384520884520884,0.8452088452088452,0.8390663390663391,0.8304668304668305,0.8366093366093366,0.8409090909090909,0.8394091935042198,0.004284316810602058,16,0.6852122986822841,0.6908284023668639,0.6955266955266955,0.6926229508196722,0.6752717391304348,0.6983002832861189,0.6728723404255319,0.6726190476190477,0.6764705882352942,0.6797297297297298,0.6839454075821674,0.009296481638439762,15,0.5961783439490446,0.5956632653061225,0.6147959183673469,0.6466836734693877,0.6339285714285714,0.6288265306122449,0.6454081632653061,0.576530612244898,0.6160714285714286,0.6415816326530612,0.6195668139867412,0.022771139772220974,7,0.6376021798365122,0.6397260273972603,0.6526743398781314,0.6688654353562006,0.6539473684210526,0.661744966442953,0.6588541666666666,0.6208791208791209,0.6448598130841121,0.6601049868766404,0.649925840483865,0.013530492637414805,10,0.754602116958341,0.7555581698698897,0.7647199656561654,0.7778321279968298,0.7686228617660656,0.7713307410342778,0.772946800079255,0.7437669242454263,0.7613124133148406,0.7728539231226471,0.7643546044043739,0.010001608132002212,7
1.1813727855682372,0.2963547543252089,0.0508885383605957,0.009873915357531808,gini,,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_split': 2}",0.8133251458397298,0.7994471744471745,0.8151105651105651,0.8197174447174447,0.808968058968059,0.8126535626535627,0.8126535626535627,0.8065110565110565,0.808046683046683,0.816031941031941,0.8112465194979779,0.005430905994486614,24,0.6144890038809832,0.57997557997558,0.6099033816425121,0.6248415716096325,0.5995085995085995,0.6066176470588235,0.604066985645933,0.5967336683417085,0.5973072215422277,0.6149068322981367,0.6048350491504138,0.01180263107393357,24,0.6050955414012739,0.6058673469387755,0.6441326530612245,0.6288265306122449,0.6224489795918368,0.6313775510204082,0.6441326530612245,0.6058673469387755,0.6224489795918368,0.6313775510204082,0.6241575133238009,0.014008309489604364,5,0.6097560975609756,0.5926388022457891,0.6265508684863523,0.6268277177368087,0.6107634543178974,0.61875,0.6234567901234568,0.6012658227848101,0.6096189881324172,0.6230333543108874,0.6142661895699394,0.010867843311629037,21,0.742272689794488,0.7333543854434978,0.7567346113202562,0.7545427151443101,0.7452859784690575,0.7507615910441847,0.75511648834291,0.7380064890033684,0.7446791823525527,0.7529865101380357,0.7473740641052662,0.007509186283511695,17
1.4464114427566528,0.3531066522817383,0.059594917297363284,0.022146139362544833,gini,,5,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_split': 5}",0.8222290451335585,0.816031941031941,0.8166461916461917,0.8249385749385749,0.8209459459459459,0.8234029484029484,0.8264742014742015,0.8101965601965602,0.8166461916461917,0.8221744471744472,0.8199686047590561,0.004720335472510692,21,0.6446629213483146,0.621550591327201,0.6206451612903225,0.6461748633879781,0.6317169069462647,0.6387782204515272,0.6454183266932271,0.6121621621621621,0.6185044359949303,0.6364846870838882,0.6316098276685815,0.011915262774868957,21,0.5847133757961783,0.6033163265306123,0.6135204081632653,0.6033163265306123,0.6147959183673469,0.6135204081632653,0.6198979591836735,0.5778061224489796,0.6224489795918368,0.6096938775510204,0.606302970232679,0.013890102903050254,12,0.6132264529058116,0.6122977346278318,0.6170622193713919,0.6240105540897097,0.6231415643180349,0.6258945998698764,0.6324007807417046,0.594488188976378,0.6204704386522568,0.6228013029315961,0.6185793836484592,0.009833898679493224,20,0.7411835487395131,0.7434057360808402,0.747294184664157,0.7492714318737204,0.7505613896043855,0.7517440228518592,0.7559441252229047,0.7308528994121921,0.7503426127732646,0.7496284921735685,0.7470228443396406,0.006678233902078533,18
